from NIST webbook,
Pressure (atm),volume (mL/g)
6,104.606
7,89.3686
8,77.94
9,69.0504
10,61.938
11,56.1181
12,51.2676
13,47.1628
14,43.6439
15,40.5937
16,37.9243
17,35.5685
18,33.4741
19,31.5997
20,29.9123
21,28.3853
22,26.9968
23,25.7286
24,24.5658
25,23.4957
26,22.5076
27,21.5924
28,20.7422
29,19.9504
30,19.2111
31,18.5192
32,17.8702
33,17.2604
34,16.6861
35,16.1444
36,15.6325
37,15.1481
38,14.6889
39,14.253
40,13.8386
41,13.4443
42,13.0685
43,12.7099
44,12.3674
45,12.0399
46,11.7264
47,11.426
48,11.138
49,10.8615
50,10.5958
51,10.3403
52,10.0945
53,9.85774
54,9.62954
55,9.40943
56,9.19699
57,8.99181
58,8.79351
59,8.60174
60,8.41617
61,8.2365
62,8.06243
63,7.89371
64,7.73008
65,7.5713
66,7.41715
67,7.26743
68,7.12194
69,6.98049
70,6.84291
71,6.70904
72,6.57872
